,Name,Sex,Age,Height,Weight,Team,Development_Status,Rank,NOC,Games,Season,City,Sport,Event,Has_Previous_Medal,Count,Medal
635,Mladen Stefanov,0,0.21257302390102517,0.1969777827002025,0.5445336743775808,Bulgaria,Developed,0.6449227400343326,BUL,2000 Summer,Summer,Sydney,Gymnastics,Gymnastics Men's Individual All-Around,-0.304479122019081,-0.4711643897950438,
636,Giulia Steingruber,1,0.21257302390102517,-0.028263920254994135,0.16515446344605839,Switzerland,Developed,0.6449227400343326,SUI,2016 Summer,Summer,Rio de Janeiro,Gymnastics,Gymnastics Women's Individual All-Around,-0.304479122019081,1.5293532652363717,
637,Giulia Steingruber,1,-0.7590107382818945,-0.028263920254994135,0.16515446344605839,Switzerland,Developed,0.6449227400343326,SUI,2012 Summer,Summer,London,Gymnastics,Gymnastics Women's Individual All-Around,-0.304479122019081,-0.4711643897950438,
638,Oleq Stepko,0,-0.7590107382818945,-0.028263920254994135,0.07030966071317776,Ukraine,Developing,-2.294109336251159,UKR,2012 Summer,Summer,London,Gymnastics,Gymnastics Men's Individual All-Around,-0.304479122019081,-0.4711643897950438,
639,Oleq Stepko,0,0.21257302390102517,-0.028263920254994135,0.07030966071317776,Azerbaijan,Upper-Middle,-0.8245932981084132,AZE,2016 Summer,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Individual All-Around,-0.304479122019081,1.5293532652363717,
640,Kylie Anne Stone (McCall-),1,-1.0019066788276243,-0.028263920254994135,0.3548440689118196,Canada,Developed,0.6449227400343326,CAN,2004 Summer,Summer,Athina,Gymnastics,Gymnastics Women's Individual All-Around,-0.304479122019081,-0.4711643897950438,
641,Silvia Alexandra Stroescu,1,-0.5161147977361645,-0.4787473261653874,-0.5936039584169865,Romania,Developed,0.6449227400343326,ROU,2004 Summer,Summer,Athina,Gymnastics,Gymnastics Women's Individual All-Around,-0.304479122019081,-0.4711643897950438,
642,Ioan Silviu Suciu,0,1.1841567860839448,0.9853237430433908,1.1136024907748645,Romania,Developed,0.6449227400343326,ROU,2004 Summer,Summer,Athina,Gymnastics,Gymnastics Men's Individual All-Around,-0.304479122019081,1.5293532652363717,
643,Ioan Silviu Suciu,0,0.21257302390102517,0.9853237430433908,1.1136024907748645,Romania,Developed,0.6449227400343326,ROU,2000 Summer,Summer,Sydney,Gymnastics,Gymnastics Men's Individual All-Around,-0.304479122019081,-0.4711643897950438,
644,Aiko Sugihara,1,-1.2448026193733541,-1.6049558409413707,-1.8265863939444344,Japan,Developed,0.6449227400343326,JPN,2016 Summer,Summer,Rio de Janeiro,Gymnastics,Gymnastics Women's Individual All-Around,-0.304479122019081,-0.4711643897950438,
645,Zoltn Supola,0,1.9128446077211345,1.2105654459985875,0.734223279843342,Hungary,Developed,0.6449227400343326,HUN,2000 Summer,Summer,Sydney,Gymnastics,Gymnastics Men's Individual All-Around,-0.304479122019081,-0.4711643897950438,
646,Oleksandr Mykolaiovych Svitlychniy,0,1.6699486671754045,0.42221948565539913,0.5445336743775808,Ukraine,Developing,-2.294109336251159,UKR,2000 Summer,Summer,Sydney,Gymnastics,Gymnastics Men's Individual All-Around,3.280070541751009,-0.4711643897950438,
647,Krisztina Szarka,1,-0.7590107382818945,-0.14088477173259245,-0.21422474748546408,Hungary,Developed,0.6449227400343326,HUN,2004 Summer,Summer,Athina,Gymnastics,Gymnastics Women's Individual All-Around,-0.304479122019081,-0.4711643897950438,
648,Miho Takenaka,1,-1.4876985599190842,-0.9292307320757807,-1.1626727748142702,Japan,Developed,0.6449227400343326,JPN,2000 Summer,Summer,Sydney,Gymnastics,Gymnastics Women's Individual All-Around,-0.304479122019081,-0.4711643897950438,
649,"Anamaria ""Ana"" Tmrjan",1,-1.0019066788276243,-1.717576692418969,-1.6368967884786731,Romania,Developed,0.6449227400343326,ROU,2008 Summer,Summer,Beijing,Gymnastics,Gymnastics Women's Individual All-Around,-0.304479122019081,-0.4711643897950438,
650,Dimosthenis Tambakos,0,1.4270527266296746,0.3095986341778008,0.4496888716447002,Greece,Developed,0.6449227400343326,GRE,2004 Summer,Summer,Athina,Gymnastics,Gymnastics Men's Individual All-Around,3.280070541751009,1.5293532652363717,
651,Dimosthenis Tambakos,0,0.45546896444675505,0.3095986341778008,0.4496888716447002,Greece,Developed,0.6449227400343326,GRE,2000 Summer,Summer,Sydney,Gymnastics,Gymnastics Men's Individual All-Around,-0.304479122019081,-0.4711643897950438,
652,"Kai-Wen ""Kevin"" Tan",0,1.1841567860839448,0.3095986341778008,0.9239128853091032,United States,Developed,0.6449227400343326,USA,2008 Summer,Summer,Beijing,Gymnastics,Gymnastics Men's Individual All-Around,-0.304479122019081,-0.4711643897950438,
653,Nikolina Tankucheva,1,0.21257302390102517,-0.3661264746877891,-0.7832935638827477,Bulgaria,Developed,0.6449227400343326,BUL,2008 Summer,Summer,Beijing,Gymnastics,Gymnastics Women's Individual All-Around,-0.304479122019081,-0.4711643897950438,
654,Yuliya Tarasenko,1,-0.5161147977361645,-0.4787473261653874,-0.7832935638827477,Belarus,Upper-Middle,-0.8245932981084132,BLR,2004 Summer,Summer,Athina,Gymnastics,Gymnastics Women's Individual All-Around,-0.304479122019081,-0.4711643897950438,
655,Teng Haibin,0,-0.5161147977361645,-0.4787473261653874,-0.5936039584169865,China,Upper-Middle,-0.8245932981084132,CHN,2004 Summer,Summer,Athina,Gymnastics,Gymnastics Men's Individual All-Around,-0.304479122019081,-0.4711643897950438,
656,Asuka Teramoto,1,-0.27321885719043465,-1.717576692418969,-1.6368967884786731,Japan,Developed,0.6449227400343326,JPN,2016 Summer,Summer,Rio de Janeiro,Gymnastics,Gymnastics Women's Individual All-Around,-0.304479122019081,1.5293532652363717,
657,Asuka Teramoto,1,-1.2448026193733541,-1.717576692418969,-1.6368967884786731,Japan,Developed,0.6449227400343326,JPN,2012 Summer,Summer,London,Gymnastics,Gymnastics Women's Individual All-Around,-0.304479122019081,-0.4711643897950438,
658,Olha Teslenko,1,-0.5161147977361645,-1.041851583553379,-1.3523623802800313,Ukraine,Developing,-2.294109336251159,UKR,2000 Summer,Summer,Sydney,Gymnastics,Gymnastics Women's Individual All-Around,-0.304479122019081,-0.4711643897950438,
659,Elvire Teza,1,-0.5161147977361645,-0.4787473261653874,-0.4039143529512253,France,Developed,0.6449227400343326,FRA,2000 Summer,Summer,Sydney,Gymnastics,Gymnastics Women's Individual All-Around,-0.304479122019081,-0.4711643897950438,
660,Kristian James Thomas,0,0.45546896444675505,2.224153109296972,2.346584926302312,Great Britain,Developed,0.6449227400343326,GBR,2012 Summer,Summer,London,Gymnastics,Gymnastics Men's Individual All-Around,-0.304479122019081,-0.4711643897950438,
661,Paula Lyn Thomas,1,-0.5161147977361645,-0.3661264746877891,-0.6884487611498671,Great Britain,Developed,0.6449227400343326,GBR,2000 Summer,Summer,Sydney,Gymnastics,Gymnastics Women's Individual All-Around,-0.304479122019081,-0.4711643897950438,
662,Eythora Elisabet Thorsdottir,1,-1.0019066788276243,-0.028263920254994135,-0.6884487611498671,Netherlands,Developed,0.6449227400343326,NED,2016 Summer,Summer,Rio de Janeiro,Gymnastics,Gymnastics Women's Individual All-Around,-0.304479122019081,-0.4711643897950438,
